CID	X	Y	CellType	CellTypeName	Region	Dist2Interface
HumanMelanomaPatient1__cell_144706	5335.4619456734	-5822.94409795819	Fibroblast	Fibroblasts	Outer margin	-45.3656713704985
HumanMelanomaPatient1__cell_144711	5252.64064234937	-5823.34384786467	Fibroblast	Fibroblasts	Outer margin	-117.483095769742
HumanMelanomaPatient1__cell_144717	5196.93318947002	-5834.67732077957	Fibroblast	Fibroblasts	Outer margin	-169.817840726057
HumanMelanomaPatient1__cell_144719	5212.09739472035	-5840.14019714082	Fibroblast	Fibroblasts	Outer margin	-157.958577900872
HumanMelanomaPatient1__cell_144720	5333.48626639732	-5837.40587515847	Fibroblast	Fibroblasts	Outer margin	-59.0315253589751
HumanMelanomaPatient1__cell_144722	5235.44310495377	-5839.29358824011	Fibroblast	Fibroblasts	Outer margin	-137.850414711471
HumanMelanomaPatient1__cell_144728	5346.35586697707	-5846.25809427892	Fibroblast	Fibroblasts	Outer margin	-54.7643242630211
HumanMelanomaPatient1__cell_144730	5438.07338194953	-5849.21016258272	Fibroblast	Fibroblasts	Inner margin	75.161039286846
HumanMelanomaPatient1__cell_144736	5102.82926920049	-5857.49678991034	Fibroblast	Fibroblasts	Outer margin	-119.176609791917
HumanMelanomaPatient1__cell_144745	5330.21419570746	-5867.62062009055	Fibroblast	Fibroblasts	Outer margin	-80.3778637303379
HumanMelanomaPatient1__cell_144750	5211.06356442751	-5874.85615149024	Fibroblast	Fibroblasts	Outer margin	-173.56595128982
HumanMelanomaPatient1__cell_144751	5162.7298994834	-5868.00350830637	Fibroblast	Fibroblasts	Outer margin	-175.559823242557
HumanMelanomaPatient1__cell_144753	5123.38060437022	-5866.38160377428	Fibroblast	Fibroblasts	Outer margin	-140.52973275514
HumanMelanomaPatient1__cell_144757	5178.43134343575	-5876.64769410835	Fibroblast	Fibroblasts	Outer margin	-193.370798629496
HumanMelanomaPatient1__cell_144758	5241.7851818157	-5880.15818974953	Fibroblast	Fibroblasts	Outer margin	-151.537935280265
HumanMelanomaPatient1__cell_144759	5369.39236842	-5879.74047878212	Fibroblast	Fibroblasts	Outer margin	-64.3337403789533
HumanMelanomaPatient1__cell_144761	5261.21707529951	-5886.0914844818	Fibroblast	Fibroblasts	Outer margin	-141.267988940704
HumanMelanomaPatient1__cell_144763	5218.94587843462	-5884.1787202407	Fibroblast	Fibroblasts	Outer margin	-172.13621026276
HumanMelanomaPatient1__cell_144772	5404.75077944428	-5894.52221857486	Fibroblast	Fibroblasts	Outer margin	-36.4573869898934
HumanMelanomaPatient1__cell_144773	5441.20758937644	-5894.31709495074	Fibroblast	Fibroblasts	Inner margin	38.2341764224195
HumanMelanomaPatient1__cell_144775	5268.08479371875	-5896.65325082394	Fibroblast	Fibroblasts	Outer margin	-139.232845941293
HumanMelanomaPatient1__cell_144779	5444.5012188118	-5903.58678323006	Fibroblast	Fibroblasts	Inner margin	31.4700626370019
HumanMelanomaPatient1__cell_144780	5217.79981315222	-5906.60784467238	Fibroblast	Fibroblasts	Outer margin	-186.924727947368
HumanMelanomaPatient1__cell_144781	5264.03855320732	-5908.41014787848	Fibroblast	Fibroblasts	Outer margin	-150.729125140198
HumanMelanomaPatient1__cell_144791	5252.76135562104	-5911.20483948477	Fibroblast	Fibroblasts	Outer margin	-160.316788081765
HumanMelanomaPatient1__cell_144792	5089.86633126983	-5920.63173949397	Fibroblast	Fibroblasts	Outer margin	-152.725183130058
HumanMelanomaPatient1__cell_144799	5220.93760022144	-5917.95618924443	Fibroblast	Fibroblasts	Outer margin	-190.223601418855
HumanMelanomaPatient1__cell_144801	5201.13643080387	-5921.2975701601	Fibroblast	Fibroblasts	Outer margin	-209.1378674716
HumanMelanomaPatient1__cell_144807	5366.71926584921	-5928.95992160283	Fibroblast	Fibroblasts	Outer margin	-82.1500808298083
HumanMelanomaPatient1__cell_144809	5205.32676409549	-5939.67369409534	Fibroblast	Fibroblasts	Outer margin	-214.010268694341
HumanMelanomaPatient1__cell_144822	5308.59531000347	-5960.3052330174	Fibroblast	Fibroblasts	Outer margin	-147.266420460664
HumanMelanomaPatient1__cell_144824	5349.64167190509	-5967.66189494338	Fibroblast	Fibroblasts	Outer margin	-120.893336965717
HumanMelanomaPatient1__cell_144825	5499.21733378839	-5967.29308324609	Fibroblast	Fibroblasts	Inner margin	46.0923015074617
HumanMelanomaPatient1__cell_144840	5272.12840989716	-5538.32893048425	Fibroblast	Fibroblasts	Inner margin	59.7579623049482
HumanMelanomaPatient1__cell_144856	5309.12312316005	-5564.21661183249	Fibroblast	Fibroblasts	Inner margin	85.4507875639757
HumanMelanomaPatient1__cell_144860	5263.0042512808	-5571.58141511395	Fibroblast	Fibroblasts	Inner margin	40.2051665711118
HumanMelanomaPatient1__cell_144873	5286.36534150225	-5595.82745337661	Fibroblast	Fibroblasts	Inner margin	66.9815924760221
HumanMelanomaPatient1__cell_144887	5122.98056532843	-5625.66914448612	Fibroblast	Fibroblasts	Outer margin	-118.297279159038
HumanMelanomaPatient1__cell_144909	5301.44499715625	-5651.18886737885	Fibroblast	Fibroblasts	Inner margin	55.6233433689376
HumanMelanomaPatient1__cell_144914	5281.98764614621	-5656.21028072665	Fibroblast	Fibroblasts	Inner margin	36.5809340404115
HumanMelanomaPatient1__cell_144915	5290.9741047948	-5657.69779835419	Fibroblast	Fibroblasts	Inner margin	44.0523170856089
HumanMelanomaPatient1__cell_144929	5350.9085442027	-5681.9257443378	Fibroblast	Fibroblasts	Inner margin	86.7507113103509
HumanMelanomaPatient1__cell_144930	5397.62448524641	-5680.51565879399	Fibroblast	Fibroblasts	Inner margin	123.465888428907
HumanMelanomaPatient1__cell_144939	5298.67600747515	-5694.77271169444	Fibroblast	Fibroblasts	Inner margin	35.4437726982861
HumanMelanomaPatient1__cell_144943	5311.36011934922	-5699.23736973693	Fibroblast	Fibroblasts	Inner margin	46.8405707442867
HumanMelanomaPatient1__cell_144962	5422.03209580601	-5730.72820728663	Fibroblast	Fibroblasts	Inner margin	119.315750854097
HumanMelanomaPatient1__cell_144964	5115.73524497255	-5734.02317295063	Fibroblast	Fibroblasts	Outer margin	-89.2073701418281
HumanMelanomaPatient1__cell_144973	5107.96608805444	-5759.88117886161	Fibroblast	Fibroblasts	Outer margin	-82.8296991624153
HumanMelanomaPatient1__cell_144979	5139.76311634007	-5768.7765737661	Fibroblast	Fibroblasts	Outer margin	-115.405660839651
HumanMelanomaPatient1__cell_144980	5420.92872989467	-5769.56723687554	Fibroblast	Fibroblasts	Inner margin	100.765373537548
HumanMelanomaPatient1__cell_144986	5072.49061052247	-5781.26366829551	Fibroblast	Fibroblasts	Outer margin	-54.7559526749669
HumanMelanomaPatient1__cell_144989	5403.88651884376	-5784.31608028512	Fibroblast	Fibroblasts	Inner margin	84.5375005652193
HumanMelanomaPatient1__cell_144991	5359.07881632328	-5784.21055229551	Fibroblast	Fibroblasts	Inner margin	45.3656713704985
HumanMelanomaPatient1__cell_144995	5375.63184362878	-5791.87642551383	Fibroblast	Fibroblasts	Inner margin	56.9749268534179
HumanMelanomaPatient1__cell_145001	5412.72541555332	-5804.14740239248	Fibroblast	Fibroblasts	Inner margin	84.054790671626
HumanMelanomaPatient1__cell_145002	5368.19845003199	-5802.1619953671	Fibroblast	Fibroblasts	Inner margin	49.2093931455381
HumanMelanomaPatient1__cell_145007	5104.82921644269	-5822.89101250598	Fibroblast	Fibroblasts	Outer margin	-104.391127549496
HumanMelanomaPatient1__cell_145026	5174.59714788881	-5863.5620032965	Fibroblast	Fibroblasts	Outer margin	-184.261236987031
HumanMelanomaPatient1__cell_145028	5123.57098863772	-5874.13398780439	Fibroblast	Fibroblasts	Outer margin	-145.721024636655
HumanMelanomaPatient1__cell_145030	5338.97227026028	-5879.03727795085	Fibroblast	Fibroblasts	Outer margin	-82.2434110210644
HumanMelanomaPatient1__cell_145034	5223.52009561383	-5894.02918905346	Fibroblast	Fibroblasts	Outer margin	-174.460023328433
HumanMelanomaPatient1__cell_145037	5247.45340556449	-5898.03522140015	Fibroblast	Fibroblasts	Outer margin	-158.240706967562
HumanMelanomaPatient1__cell_145038	5347.23442670696	-5900.65781881958	Fibroblast	Fibroblasts	Outer margin	-93.561485137298
HumanMelanomaPatient1__cell_145043	5225.46507080359	-5925.46836511058	Fibroblast	Fibroblasts	Outer margin	-189.623192193442
HumanMelanomaPatient1__cell_153133	5496.85012275049	-4576.14426931113	Fibroblast	Fibroblasts	Tumor	297.436737326782
HumanMelanomaPatient1__cell_159672	5166.37733738494	-4630.43402539774	Fibroblast	Fibroblasts	Inner margin	192.616411089148
HumanMelanomaPatient1__cell_159681	5333.76233501154	-4637.0851564798	Fibroblast	Fibroblasts	Inner margin	213.875130299313
HumanMelanomaPatient1__cell_159742	5218.97544507055	-4680.52904500454	Fibroblast	Fibroblasts	Inner margin	139.85741507717
HumanMelanomaPatient1__cell_159746	5241.18207845105	-4680.3007267684	Fibroblast	Fibroblasts	Inner margin	144.280262750939
HumanMelanomaPatient1__cell_159779	5178.2850384485	-4691.64976344854	Fibroblast	Fibroblasts	Inner margin	130.253285769258
HumanMelanomaPatient1__cell_159782	5243.23231656281	-4693.83520380689	Fibroblast	Fibroblasts	Inner margin	131.350192213059
